Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
4,0.044,zwadx,46,0.002,qhiyn,78,0.63,lwgmc,52,0.816,terbb,82,0.503,cbaqt,25,0.192,fjwfz,86,0.761,vexpk,45,0.796,wwvfb,8,0.438,mqgna,23,0.473,ijoii,93,0.453,sgleb,80,0.758,wfwcn,65,0.966,jcgza,50,0.768,rmvcn,9,0.74,uenky,99,0.364,rajiy,49,0.225,btxew,35,0.215,qstxj,18,0.937,fyest,51,0.205,xkbit,68,0.743,koipl,56,0.298,vxgjv,49,0.934,xfgxr,18,0.136,lriqt,42,0.647,oseup,71,0.726,clicf,96,0.959,uywke,60,0.66,jhmfi,88,0.978,widzb,52,0.57,nqxya,62,0.595,wfcvh,41,0.009,oaudp,70,0.809,qmmpq,42
86,0.193,mddbh,19,0.637,jrgpz,46,0.565,hsfzr,69,0.506,eydxp,91,0.171,cjhvw,86,0.609,qlswc,73,0.092,engjk,47,0.673,yntda,23,0.218,pdnck,18,0.551,uanpo,56,0.497,jysyg,69,0.313,ieuej,91,0.857,tisll,72,0.984,ojbmy,27,0.753,lmnnq,62,0.625,mlouu,67,0.964,gmkjo,71,0.272,kzshe,70,0.526,eeqby,67,0.993,ewsee,79,0.587,sbdvi,57,0.54,jwyhs,51,0.667,hclpq,95,0.771,oombl,26,0.544,aknbs,95,0.502,oeahy,7,0.548,mrawl,25,0.007,zgpzw,99,0.776,wnqgq,49,0.726,mqbji,47,0.481,ksbhi,59,0.491,suriq,27,0.801,iromr,23
18,0.076,htztk,6,0.017,sopsx,2,0.624,xyxiz,80,0.58,hmnxd,32,0.096,oebfr,46,0.828,cuact,94,0.934,rhshf,72,0.464,iulgb,56,0.75,cavbv,64,0.839,fbnij,49,0.491,gtsih,95,0.076,kvjos,37,0.046,phnri,6,0.5,vmwwr,78,0.436,plszn,13,0.696,sagxx,78,0.577,bhlzo,24,0.09,kkzde,13,0.959,rshii,11,0.226,tlezo,31,0.911,aycsq,99,0.676,qlfdb,59,0.247,kmawv,33,0.005,burdu,80,0.183,pqdco,62,0.429,ejilx,81,0.181,cwxlq,45,0.835,qnynj,13,0.328,oghzb,71,0.416,lhxuf,21,0.926,jxgkj,17,0.915,ltxhk,56,0.524,fixhl,5
95,0.703,ykauq,53,0.323,dgxmz,73,0.231,wwrtn,92,0.667,bskzv,85,0.671,wkocf,12,0.266,ifasg,29,0.864,wiebj,45,0.243,gvjxf,48,0.905,imyzu,55,0.721,eoxiw,95,0.401,agqfd,11,0.375,uxmog,98,0.16,gvxnz,64,0.461,yvtux,60,0.743,kleyi,79,0.841,cqnnd,14,0.412,yiidi,22,0.574,eghlz,7,0.594,xgkpx,79,0.493,wqcbl,14,0.139,tvlmi,72,0.049,xngmf,93,0.206,woybw,86,0.84,hsgwa,36,0.722,yuvya,21,0.107,jdctn,60,0.363,bhrrf,73,0.453,ubhjz,23,0.626,dnuyo,7,0.187,qufuw,48,0.477,rtilr,63,0.128,vikxt,20,0.724,gpmsq,10
61,0.578,khdxj,8,0.364,mfvuc,23,0.779,eisfq,16,0.304,jkflk,62,0.635,vyvqh,32,0.19,cluqv,5,0.182,mlzky,7,0.895,vovet,48,0.866,hntek,3,0.719,rigul,80,0.732,mnufl,51,0.893,mgaub,48,0.912,ciijj,34,0.818,vjwcv,58,0.025,sjlah,63,0.706,cskyd,19,0.914,qvcdy,53,0.175,vorqz,62,0.246,yhqll,76,0.396,jwygl,74,0.18,fphvn,17,0.754,lqaxd,70,0.049,smdlz,18,0.949,deyog,66,0.025,ccbxz,99,0.897,ftcnh,53,0.361,exrbz,0,0.647,esmmj,44,0.123,lrrcu,70,0.339,ewayi,31,0.465,ufjwe,3,0.512,launv,66,0.836,ynjhs,85
46,0.839,trzxi,65,0.059,fuzhk,3,0.508,nxcmx,53,0.81,qajjv,23,0.844,llrqr,25,0.983,siblk,25,0.78,bsjvh,3,0.887,acszg,54,0.069,qxrgh,28,0.129,mcwxi,74,0.742,slzqg,53,0.814,ltrwn,35,0.558,roepp,38,0.927,efhob,20,0.755,endhw,53,0.233,limti,56,0.937,bqelu,62,0.711,yvydl,33,0.285,ojflv,69,0.544,pyvki,98,0.629,gxvxo,75,0.665,nhyyq,36,0.935,ofewn,39,0.65,gkpzr,12,0.191,lryts,47,0.737,hyckr,29,0.837,jirlf,0,0.808,expad,83,0.535,biytz,0,0.875,wkkzb,23,0.701,cngjc,21,0.085,akdcl,98,0.664,myvxb,8
31,0.793,wkxye,10,0.959,ticps,13,0.581,vstxp,40,0.571,owtdc,42,0.064,vyukh,51,0.631,bctep,39,0.984,jnvpw,39,0.642,ydgaa,19,0.772,eyrsx,51,0.725,guadj,59,0.404,bndem,41,0.172,ybltb,50,0.677,bqjfd,14,0.55,hnmog,92,0.957,xruen,98,0.737,chbke,3,0.149,leovz,14,0.352,lbbxp,87,0.094,sdbaa,68,0.612,tsqzn,71,0.752,zhtzt,9,0.755,gxrfg,88,0.89,vufti,20,0.903,zesbn,99,0.018,lvqvv,3,0.735,ucelc,75,0.853,svufg,63,0.805,mhlnh,50,0.672,tnkay,39,0.225,ymyvz,43,0.508,rjwrh,35,0.044,nrrzy,23,0.305,mvgzt,55
33,0.505,gdoly,49,0.566,ktpcb,7,0.768,emiqt,54,0.197,wkbun,1,0.105,oltir,10,0.999,dswjw,1,0.934,hlgcq,81,0.39,tkebt,25,0.688,bzjlu,12,0.425,aghjm,57,0.512,lamkk,34,0.126,kbdrs,90,0.235,jqnel,47,0.425,qiugl,76,0.157,xhbmu,32,0.611,wwrrm,69,0.323,gpfmn,29,0.461,rjgpr,62,0.581,vuwdx,22,0.91,xsbqa,0,0.932,xnwhk,91,0.586,ruvjm,26,0.429,lrdkh,25,0.339,xfdzl,4,0.046,kaesw,79,0.713,twvus,2,0.514,jofie,91,0.133,vnble,10,0.721,wrrns,64,0.573,qizvm,83,0.794,dmqho,74,0.179,fyukg,12,0.31,wmoik,35
95,0.769,ziurn,18,0.081,zasxr,23,0.39,sduqq,62,0.986,xmsmz,63,0.296,abrfb,8,0.566,jdxwn,61,0.484,cpnig,63,0.208,ggmtd,16,0.128,spalu,69,0.453,wuutw,42,0.219,eytkb,52,0.889,obawh,4,0.47,nhmbj,98,0.925,jcrrj,31,0.225,kmene,63,0.473,qhzku,9,0.588,cqhla,96,0.347,ihszv,58,0.875,fgbfm,70,0.809,pghhv,84,0.652,etikh,57,0.49,ugzmp,70,0.119,teqil,13,0.106,yhujc,40,0.439,oextp,12,0.931,gaavk,49,0.569,doywa,85,0.777,ynnqr,51,0.618,wbpny,31,0.419,thufo,63,0.61,evaxx,91,0.834,ubnup,21,0.083,tbjpc,75
24,0.674,tivyg,23,0.548,lbduo,95,0.473,nxozr,49,0.308,yvuje,9,0.75,zvkba,58,0.351,lpyxg,60,0.58,tpjcv,13,0.451,zgaua,83,0.346,ynnoo,78,0.511,wlbss,29,0.111,zyriz,25,0.109,rtqsf,23,0.39,ijagd,54,0.561,bjuvc,61,0.502,vfmjk,60,0.507,fngic,94,0.342,wryki,28,0.71,lyhga,5,0.849,atxge,18,0.481,mcijf,36,0.2,awygc,85,0.395,xpicv,6,0.69,notpo,14,0.748,srpfl,26,0.932,qzygw,29,0.661,hvjdb,11,0.33,zpzye,57,0.248,txgnz,43,0.122,axlvj,73,0.698,ksajr,19,0.851,gkjhz,90,0.999,fqcaa,72,0.794,rrhwd,2
16,0.192,lhios,15,0.045,dhuba,93,0.356,qrlxx,38,0.792,fwvvr,11,0.107,gergv,83,0.708,gfane,12,0.512,aicjd,72,0.968,ajgwm,69,0.312,xntcy,14,0.956,smllh,96,0.88,xnckn,75,0.785,abqmi,9,0.793,jyxrw,51,0.261,ftwou,18,0.187,elvjk,18,0.391,sbmpj,82,0.388,zgywa,32,0.713,zigyl,70,0.541,ojram,96,0.624,bxxmj,7,0.237,bvjyv,52,0.647,tzwam,32,0.028,yyxvy,92,0.43,gozml,46,0.287,gbvzb,60,0.195,vbcrd,10,0.361,pbzai,52,0.498,emrpp,79,0.003,eerua,56,0.374,mspsy,66,0.526,ukpqi,34,0.671,wknna,45,0.654,bzrxa,66
37,0.662,vcors,47,0.708,dvsza,91,0.338,dcnbl,94,0.651,gsfbw,66,0.485,whxvm,7,0.513,ijvyg,75,0.485,yrbyp,66,0.273,pofng,42,0.955,jhtea,52,0.777,xmllf,76,0.545,fgfba,3,0.229,xprfx,21,0.552,sbbsq,84,0.448,ibxam,73,0.06,cnckf,75,0.491,zicme,43,0.035,svswm,94,0.176,bobwj,69,0.124,lvlts,98,0.241,qfigs,32,0.049,apljb,41,0.467,lbuha,94,0.544,vznsw,50,0.581,ujcqr,81,0.204,ikijd,61,0.085,ybdpn,70,0.521,mgxrz,68,0.725,bdyht,83,0.261,mgxuc,71,0.949,xwzbo,21,0.315,rpfsc,70,0.86,kfmwy,45,0.261,iozcl,74
95,0.829,tyhwz,8,0.897,cgfhx,80,0.334,agyql,20,0.109,dfcsz,5,0.127,uwfuz,9,0.025,ohvqj,43,0.49,spwaz,31,0.327,vmdtf,69,0.021,avjux,19,0.433,odwpn,48,0.176,ypjuq,32,0.146,jfmlj,75,0.589,dtdwc,30,0.881,stdzv,46,0.263,wxwai,59,0.92,ixoiw,62,0.323,dqgho,73,0.337,wbutj,50,0.621,ruvwu,54,0.083,kfeev,40,0.827,kazla,4,0.892,umyhf,54,0.164,xwbsv,83,0.428,xsahh,9,0.43,jvvvp,57,0.15,gfqud,81,0.095,dlwjn,51,0.648,wqdfp,48,0.676,yuasw,29,0.732,vvwag,50,0.95,ufpdm,29,0.481,tvits,8,0.827,dyecm,73
14,0.11,cbwki,2,0.741,znmqk,54,0.894,kfrnx,1,0.657,hisjg,34,0.871,jtdit,29,0.367,tmzcy,33,0.513,ogsaf,65,0.72,dvypi,89,0.072,wutwn,83,0.236,qwrqk,39,0.036,jbkog,0,0.658,hdhaz,45,0.348,qknuv,59,0.134,kzijl,77,0.024,uoxhd,69,0.683,zggii,12,0.277,czwdr,84,0.008,janro,19,0.137,ohxcx,86,0.095,oftzd,59,0.551,jgdxn,76,0.12,cktrr,93,0.445,cngqm,77,0.949,jzcks,36,0.859,rnkul,60,0.837,poepp,13,0.92,dztpk,59,0.47,ilksm,13,0.075,qeyry,10,0.028,nmeym,91,0.337,myntf,78,0.9,tavcc,80,0.543,zobah,0
7,0.08,dhllj,9,0.631,lttck,62,0.397,bdqus,22,0.758,jyrzq,59,0.878,fqaed,14,0.163,ykzkh,32,0.751,jzdbh,4,0.811,kswxe,46,0.8,fuszp,2,0.062,dnigr,1,0.128,gefmz,9,0.978,jyiwm,18,0.824,kpaug,75,0.367,cnfku,58,0.909,osubb,3,0.351,wyscs,91,0.102,dxrfx,53,0.719,arkgb,24,0.031,kypgk,8,0.024,nkxcg,65,0.14,xnkgq,48,0.225,qocvt,41,0.104,hacvo,73,0.521,erree,53,0.773,nspuy,15,0.023,wfsfn,11,0.643,csvsp,47,0.59,kfwbx,33,0.596,qkrdx,70,0.661,vufar,62,0.189,ekuzl,12,0.101,pmwqp,12,0.994,ueyqo,96
53,0.795,fiedx,44,0.981,bgsfq,75,0.667,jhimt,40,0.758,priiu,19,0.248,bslvu,93,0.308,mtewu,49,0.624,dhsde,54,0.825,kwtkx,70,0.797,qlvag,60,0.576,jvfka,46,0.139,okduf,57,0.489,lrckr,31,0.165,ifidc,89,0.745,flnsg,85,0.421,ksunq,10,0.637,dtsww,7,0.482,sfnta,35,0.629,qhpwh,22,0.07,xndgc,94,0.404,mgvqq,38,0.344,inckx,78,0.096,kawzn,41,0.598,gdbvg,28,0.869,xiodw,60,0.019,kwohb,74,0.254,tjzpv,40,0.501,rffow,56,0.115,deeoe,80,0.914,sukni,75,0.354,laumf,80,0.383,lwska,95,0.281,oslcd,70,0.554,rfmvw,44
68,0.394,gfgpl,37,0.725,vzyao,68,0.795,nnhyh,74,0.929,xiuqv,63,0.043,encdt,52,0.267,ilftv,22,0.053,wgtdj,80,0.012,dgpis,30,0.121,zbkut,14,0.093,qfytt,80,0.922,jzbnj,62,0.193,pipfv,79,0.65,gizub,66,0.455,ypbxa,5,0.53,gzkql,27,0.8,oomzy,75,0.762,ebycf,68,0.555,hucoc,91,0.325,ppdqu,66,0.275,ywdpd,28,0.467,vpxqz,70,0.291,uxhvj,57,0.216,ngnoc,67,0.007,qswhb,37,0.793,jftqk,87,0.723,mjumz,28,0.252,bxcil,13,0.347,xoveq,51,0.866,vfeoj,70,0.522,jczgn,71,0.205,vnqtx,69,0.186,hppgm,10,0.891,icpzx,74
21,0.653,gkhfy,29,0.57,kesqz,89,0.439,hgwyv,78,0.018,ckflf,8,0.963,eylfy,27,0.577,thqfp,58,0.666,kovsl,39,0.708,fnxyq,56,0.51,azvcd,16,0.399,adgnl,55,0.726,fymbd,74,0.852,wwiih,36,0.397,giulc,21,0.788,kggrs,86,0.002,ytkzi,86,0.022,whfwh,31,0.606,exkvg,91,0.498,iyigo,22,0.256,kxftz,44,0.35,znorw,45,0.427,rxqms,47,0.206,tmbcc,77,0.56,ribnj,72,0.508,fkstl,73,0.937,hrosl,89,0.971,zhloi,56,0.262,kmsjl,91,0.734,qcqpw,39,0.115,dhkxl,78,0.021,xljdf,70,0.112,ewmku,89,0.641,mjbmu,27,0.304,ubrhq,11
63,0.549,kkvyd,18,0.989,fgnrg,67,0.459,goczu,30,0.18,vleyu,62,0.413,zdfel,33,0.408,gmnnk,44,0.327,aixmr,39,0.556,ycdkt,65,0.905,agpvt,55,0.611,yqrfn,40,0.586,cwmyf,0,0.656,udrrh,61,0.473,yxfca,49,0.167,fwela,13,0.238,rxegb,30,0.779,lsfrv,81,0.864,thije,82,0.393,ltvxe,33,0.208,atrum,31,0.8,xkzvx,72,0.793,bsgjt,46,0.624,tsmhh,48,0.198,ccxoz,26,0.805,wntvk,58,0.089,jbzqc,5,0.466,pszcg,21,0.021,sldrd,53,0.229,lgddy,2,0.548,ahrdd,87,0.207,ckjng,26,0.664,qegsb,82,0.569,invdy,13,0.385,pepzl,10
73,0.637,mbjzw,11,0.31,vcjyw,53,0.329,vuwfl,57,0.922,uiqgi,36,0.956,qmqal,83,0.163,edfin,53,0.652,gikzf,19,0.205,devtp,54,0.956,lesuv,19,0.169,wphie,1,0.421,vxgmi,48,0.932,fhgtt,16,0.222,gmopn,17,0.321,toirv,48,0.664,utztm,83,0.776,ubdyd,81,0.802,xnsip,36,0.668,istwi,43,0.287,uaova,87,0.494,lykok,59,0.458,xayeh,96,0.212,iuegy,51,0.724,ujwsk,89,0.229,yguyp,9,0.809,bwmms,68,0.69,xiama,93,0.794,wzcih,12,0.595,ershs,35,0.888,hazyi,68,0.422,ykjvj,32,0.83,xggme,1,0.236,zepqb,59,0.639,tlzed,57
91,0.064,oydzo,17,0.018,pkrmw,71,0.389,sllkj,23,0.488,sovei,39,0.201,smumi,63,0.095,qmgek,20,0.953,ddonp,42,0.526,xildv,8,0.61,htzsp,33,0.612,atfuy,13,0.65,wgthe,94,0.231,xjrmi,59,0.484,vtpcj,67,0.02,xfdsr,0,0.629,wjlqx,86,0.164,yicsb,63,0.52,enxwj,77,0.373,qrnou,52,0.426,keklf,9,0.317,esdef,35,0.286,lxisv,12,0.01,nrhkp,25,0.433,spzbo,63,0.125,nlojo,91,0.827,owunr,78,0.322,wyhzb,30,0.47,dcopk,15,0.973,xerws,32,0.583,azmjx,25,0.734,cksih,12,0.921,dnyjl,2,0.605,cbxys,60,0.027,bzpeu,88
72,0.295,iduzj,62,0.59,daacc,83,0.648,nhysd,92,0.198,nizme,36,0.034,zjxcg,26,0.835,aqlrf,9,0.408,ijxzy,3,0.756,bckob,54,0.428,onvbv,9,0.635,mogfc,6,0.345,eegvr,64,0.121,dtzrf,80,0.095,vjmlz,76,0.96,twzex,53,0.173,gsplv,80,0.659,zfvwi,30,0.379,ckkpq,76,0.277,bbeyo,70,0.268,zzmts,32,0.135,njebr,88,0.622,rmzly,10,0.292,omrlv,53,0.36,abdfk,23,0.736,wqdkb,70,0.879,wfwph,31,0.431,lcjpn,95,0.141,hfqnl,72,0.959,qzafl,87,0.414,tjixt,85,0.258,vcvle,49,0.043,opkkj,31,0.449,oddmg,17,0.109,ygkez,43
54,0.226,pdndy,48,0.747,bshuk,91,0.541,kwzmm,48,0.363,ajodb,43,0.66,ymjki,19,0.548,jftqp,12,0.072,mapto,21,0.018,qhysv,39,0.26,ynyli,12,0.277,qzokf,12,0.247,sowwr,19,0.157,hgval,42,0.476,ounuu,49,0.37,kwmde,82,0.967,rnxwl,43,0.625,ldzpd,24,0.496,eznvd,27,0.335,mazuj,71,0.376,ymlvm,53,0.116,gljum,20,0.868,cmezs,97,0.442,xnthn,13,0.434,jijau,21,0.477,ldwgv,74,0.197,lpblt,86,0.346,zgmcl,49,0.393,gyioc,9,0.497,eocmg,20,0.378,jyavh,68,0.921,jgfmy,79,0.081,snjma,53,0.324,lqxmd,82,0.375,sreva,19
54,0.193,ebsyn,41,0.019,zvwyi,88,0.766,npudb,48,0.778,akupg,68,0.389,ixvyx,33,0.156,edzrt,69,0.762,ruhcn,79,0.354,xdcsg,86,0.05,jzija,35,0.752,bsclc,32,0.26,ejjhl,61,0.784,gwnep,27,0.401,waqdh,76,0.909,jezrt,88,0.234,sojkx,31,0.384,wmujd,7,0.919,qbzgi,99,0.392,ajnee,72,0.182,oseko,60,0.337,oywus,61,0.375,onrja,77,0.658,grjjr,63,0.109,heswe,11,0.871,lhycp,27,0.596,sfxip,80,0.008,fandz,79,0.781,macna,55,0.144,otxhr,67,0.375,eugeb,6,0.897,dacoo,75,0.888,vwnsl,96,0.588,prvgk,38,0.569,qwjhj,77
15,0.504,knend,94,0.898,grqhy,47,0.042,sxpyu,27,0.247,yyrfi,56,0.206,bbrjm,68,0.713,nyumm,63,0.756,ailvp,85,0.746,kkxdh,55,0.045,xvqlm,70,0.606,umzeg,71,0.389,gejla,29,0.399,gusnw,70,0.007,gjmdy,7,0.247,yctfy,41,0.453,wmrih,50,0.81,knihx,7,0.885,rcsav,55,0.794,ukwfn,61,0.027,hpqsz,84,0.076,fckgq,97,0.79,nrdzf,49,0.36,djzlc,60,0.926,rulwv,33,0.701,zitfp,67,0.269,xwnzq,49,0.172,fnrys,80,0.506,ynxiu,54,0.654,npmxd,47,0.884,wodwy,90,0.218,veqha,55,0.571,flnbc,2,0.416,oodkz,77,0.354,gjyqc,29
68,0.568,seyge,95,0.686,smaaa,92,0.459,lgxwn,2,0.256,jizpo,43,0.183,homoi,84,0.545,yujyr,63,0.691,hfwuc,52,0.607,yankg,92,0.42,pmfbh,85,0.363,mlkww,34,0.464,pblus,1,0.399,wlnwm,81,0.961,hzwne,12,0.486,ebxjg,50,0.188,uldjx,43,0.739,jwcvx,74,0.699,ztegb,92,0.826,ahybi,75,0.586,cwcnh,75,0.737,ncndl,63,0.65,gitem,69,0.161,mrwtq,78,0.092,bngyv,62,0.856,itatc,42,0.827,bqhok,19,0.783,tmsyp,47,0.856,xcpoe,78,0.363,kbgbu,19,0.347,svmim,43,0.28,ilzbt,96,0.494,kchlv,8,0.144,jxsht,25,0.409,dbqro,7
53,0.342,tcqnh,0,0.327,vlnge,61,0.842,qjzbc,68,0.693,fzpuj,72,0.483,flfmh,47,0.216,fyuam,76,0.043,lsdvz,86,0.885,mfcfw,91,0.379,zltpb,74,0.784,mggli,22,0.381,vcktz,91,0.815,ptilq,34,0.233,rmham,83,0.253,kyvve,19,0.489,eodtw,98,0.84,kzupv,41,0.118,vzwsu,52,0.577,bchto,84,0.013,xdiku,15,0.104,fanvt,64,0.409,pyjoz,72,0.145,pcjtd,24,0.344,vvbmk,32,0.949,dbcmh,88,0.874,mewml,17,0.23,ercsp,77,0.579,hqlnh,51,0.582,xhxzp,65,0.223,dksbu,30,0.052,brznt,57,0.858,ekpej,63,0.373,qnpyx,75,0.142,mwhne,45
60,0.828,sfbnr,90,0.163,mkqpd,89,0.45,grucj,45,0.475,rqcok,41,0.261,ezleq,3,0.739,zbnck,81,0.066,msbud,91,0.214,rvlfe,65,0.107,obxia,65,0.175,yvwrk,83,0.037,mgrtd,11,0.039,dhcvh,94,0.33,kowpv,43,0.852,saljb,47,0.873,lqsjn,86,0.401,cwdrg,54,0.798,teeop,58,0.832,wedeq,39,0.117,mtvxb,77,0.502,otfru,21,0.325,euxfu,99,0.974,dwlmn,58,0.056,tyqli,79,0.052,gbtqm,90,0.375,dxfsh,9,0.94,qcouq,24,0.962,zfdfd,78,0.052,uugcd,55,0.739,zqnxv,21,0.829,imymn,7,0.55,tbhca,31,0.948,dqmco,24,0.544,luurx,39
41,0.59,zstuz,30,0.539,qqioe,2,0.148,mtfoe,7,0.062,tdyrp,34,0.052,tckqc,34,0.713,simib,68,0.128,hizkw,40,0.565,qeksg,30,0.534,tcdim,46,0.95,wasxk,71,0.606,tfadg,99,0.261,qclby,6,0.967,trjni,36,0.355,kofjd,74,0.081,cxefc,89,0.902,onfda,94,0.319,irkau,94,0.117,hfnhd,35,0.983,oezih,74,0.506,zfyfe,81,0.613,ifyju,80,0.068,xsgek,63,0.785,kezom,99,0.777,soqhq,2,0.394,ppgzr,13,0.968,rikvo,80,0.048,kppco,9,0.518,gitsl,20,0.185,pmasj,81,0.235,mizwa,56,0.241,wsusk,99,0.328,acmst,55,0.344,ddbup,69
8,0.791,xislj,64,0.662,goiki,89,0.135,vqlce,36,0.081,xpzwn,31,0.312,kmaze,84,0.21,tczjn,11,0.931,zzclm,32,0.399,sorkx,21,0.772,falfd,37,0.78,zbwms,65,0.279,rvnqv,97,0.436,vvknl,55,0.078,spxdn,41,0.887,pqznq,29,0.431,lqzqy,91,0.336,nlodh,70,0.498,begup,91,0.825,potiu,70,0.524,eypqw,16,0.034,rynvb,9,0.024,ggcmy,52,0.671,hgzxi,45,0.204,wytkn,72,0.505,pdcrk,98,0.321,ngjau,33,0.818,lyhok,27,0.126,koull,26,0.699,tnpxb,14,0.238,ulpqg,97,0.077,dnhmn,90,0.604,wbvmt,99,0.89,wltqg,91,0.522,hhkja,24
15,0.083,yxegd,5,0.898,zenvx,6,0.235,xbhvq,9,0.726,anvts,32,0.667,vrucq,79,0.345,zshxp,99,0.257,zypkz,9,0.701,jpxlk,66,0.236,nhwgi,57,0.233,wusqs,92,0.146,somxv,59,0.001,nhsis,35,0.796,jxiwm,95,0.649,uyqzi,62,0.813,czrce,59,0.016,hagfd,44,0.234,ujjzg,56,0.691,kygru,91,0.561,anfkz,60,0.005,dpvgo,42,0.586,ynsoh,37,0.152,eyhfb,80,0.691,fkddk,77,0.795,sdsop,21,0.582,vlnel,79,0.73,kimmp,79,0.312,izgoa,68,0.19,xmhty,55,0.16,gioxm,72,0.295,fyfdd,28,0.869,ekhpi,21,0.385,bhtyi,31,0.453,pjlud,45
